%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5
417421000000,20844,417421000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.28301864551e-05,-2.17712166988e-05,1.49930221389,3.65269289162e-05,3.09296506247e-05,0.00959548695323,-0.000465605320072,0.000713665488152,9.39312863711e-05,-2.86262175118e-05,0.0,0.0,0.0,0.0,0.0,0.0
417441000000,20845,417441000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.2830186456e-05,-2.17533543196e-05,1.49930221389,3.65269289686e-05,3.09296527085e-05,0.00959548688255,-0.000465605318847,0.000713665468241,9.39313400587e-05,-2.86261668323e-05,0.0,0.0,0.0,0.0,0.0,0.0
417452000000,686,417452000000,,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,-9.2830186456e-05,-1.35653292,1.71364054454,-2.17533543196e-05,1.49930221389,3.65269289686e-05,-0.000465605318847,0.00959548688255,3.09296527085e-05,0.000713665468241,9.39313400587e-05,-2.86261668323e-05,0.0,0.0,0.0,0.0,0.0,0.0
417461000000,20846,417461000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.28301864791e-05,-2.19220952244e-05,1.49930221389,3.65269287874e-05,3.09296427185e-05,0.00959548715258,-0.000465605350928,0.000713665540545,9.39311485602e-05,-2.86263475782e-05,0.0,0.0,0.0,0.0,0.0,0.0
417481000000,20847,417481000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.28301864533e-05,-2.17693312878e-05,1.49930221389,3.6526928918e-05,3.09296490162e-05,0.00959548695089,-0.000465605322642,0.000713665487502,9.39312900648e-05,-2.86262141506e-05,0.0,0.0,0.0,0.0,0.0,0.0
417501000000,20848,417501000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.28301864542e-05,-2.17531194622e-05,1.49930221389,3.65269289677e-05,3.092965105e-05,0.0095954868821,-0.00046560532155,0.000713665468089,9.39313424073e-05,-2.86261647453e-05,0.0,0.0,0.0,0.0,0.0,0.0
417521000000,20849,417521000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.28301864747e-05,-2.18984449969e-05,1.49930221389,3.65269287999e-05,3.09296416516e-05,0.00959548713337,-0.000465605350134,0.000713665535577,9.39311637127e-05,-2.86263334111e-05,0.0,0.0,0.0,0.0,0.0,0.0
417541000000,20850,417541000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.28301864533e-05,-2.17676160403e-05,1.49930221389,3.65269289224e-05,3.09296474167e-05,0.00959548694868,-0.000465605325239,0.000713665486892,9.39312936211e-05,-2.86262109223e-05,0.0,0.0,0.0,0.0,0.0,0.0
417552000000,687,417552000000,,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,-9.28301864533e-05,-1.35653292,1.71364054454,-2.17676160403e-05,1.49930221389,3.65269289224e-05,-0.000465605325239,0.00959548694868,3.09296474167e-05,0.000713665486892,9.39312936211e-05,-2.86262109223e-05,0.0,0.0,0.0,0.0,0.0,0.0
417561000000,20851,417561000000,,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,1.71364054454,-1.35653292,-9.28301864525e-05,-2.1752924277e-05,1.49930221389,3.65269289713e-05,3.09296493733e-05,0.00959548688163,-0.000465605324223,0.000713665467952,9.39313447341e-05,-2.86261626772e-05,0.0,0.0,0.0,0.0,0.0,0.0
